Place of Origin,2013/14,2014/15,% of Total,% Change,,
Martinique,0,0,,0.0,,
Montserrat,0,0,,0.0,,
Saint Kitts and Nevis,2,0,,-100.0,,
Saint Lucia,9,10,,11.1,,
Saint Vincent and the Grenadines,6,3,,-50.0,,
Sint Maarten,1,0,,-100.0,,
Trinidad and Tobago,74,80,,8.1,,
Turks and Caicos,0,2,,-,,
,,,,,,
Mexico and Central America,"1,823","2,038",1.6,11.8,,
Belize,16,16,,0.0,,
Costa Rica,79,91,,15.2,,
El Salvador,38,48,,26.3,,
Guatemala,82,69,,-15.9,,
Honduras,45,80,,77.8,,
Mexico,"1,527","1,646",,7.8,,
Nicaragua,14,17,,21.4,,
Panama,22,71,,222.7,,
,,,,,,
South America,"6,340","7,130",5.7,12.5,,
Argentina,615,640,,4.1,,
Bolivia,53,42,,-20.8,,
Brazil,"3,673","4,394",,19.6,,
Chile,496,487,,-1.8,,
Colombia,765,826,,8.0,,
Ecuador,138,151,,9.4,,
Falkland Islands,0,0,,0.0,,
French Guiana,26,3,,-88.5,,
Guyana,5,13,,160.0,,
Paraguay,21,18,,-14.3,,
Peru,263,291,,10.6,,
Suriname,2,2,,0.0,,
Uruguay,80,66,,-17.5,,
Venezuela,203,197,,-3.0,,
,,,,,,
MIDDLE EAST & NORTH AFRICA,"5,309","5,608",4.5,5.6,,
,,,,,,
Middle East,"4,209","4,467",3.6,6.1,,
Bahrain,12,12,,0.0,,
Iran,"1,364","1,475",,8.1,,
Iraq,133,136,,2.3,,
Israel,"1,574","1,522",,-3.3,,
Jordan,224,243,,8.5,,
Kuwait,46,40,,-13.0,,
Lebanon,321,313,,-2.5,,
Oman,9,14,,55.6,,
Palestinian Territories,27,45,,66.7,,
Qatar,12,9,,-25.0,,
Saudi Arabia,307,479,,56.0,,
Syria,140,132,,-5.7,,
United Arab Emirates,27,27,,0.0,,
Yemen,13,20,,53.8,,
,,,,,,
North Africa,"1,100","1,141",0.9,3.7,,
Algeria,68,69,,1.5,,
Egypt,762,784,,2.9,,
Libya,39,47,,20.5,,
Morocco,110,113,,2.7,,
Tunisia,121,128,,5.8,,
,,,,,,
NORTH AMERICA,"4,551","4,611",3.7,1.3,,
Canada,"4,551","4,611",,1.3,,
,,,,,,
OCEANIA,"1,322","1,252",1.0,-5.3,,
Australia,"1,082","1,019",,-5.8,,
Cook Islands,0,0,,0.0,,
Fiji,7,4,,-42.9,,
French Polynesia,0,0,,0.0,,
Kiribati,1,0,,-100.0,,
Marshall Islands,0,0,,0.0,,
Micronesia,0,1,,-,,
Nauru,0,0,,0.0,,
New Caledonia,0,0,,0.0,,
New Zealand,224,223,,-0.4,,
Niue,0,0,,0.0,,
Norfolk Island,0,0,,0.0,,
Palau,0,0,,0.0,,
Papua New Guinea,7,4,,-42.9,,
Samoa,0,0,,0.0,,
Solomon Islands,0,0,,0.0,,
Tonga,1,1,,0.0,,
Tuvalu,0,0,,0.0,,
Vanuatu,0,0,,0.0,,
Wallis and Futuna,0,0,,0.0,,
,,,,,,
STATELESS,15,4,0.0,-73.3,,
,,,,,,
WORLD TOTAL,"121,914","124,861",100.0,2.4,,
